ts_code,trade_time,open,close,high,low,vol,amount,oi,change1
OI2309.ZCE,2023-04-14 09:30:00,8484.0,8508.0,8511.0,8481.0,10623.0,902615220.0,203120.0,-45.0
OI2309.ZCE,2023-04-14 09:15:00,8508.0,8483.0,8517.0,8476.0,24236.0,2059356920.0,202581.0,-25.0
OI2309.ZCE,2023-04-13 23:00:00,8515.0,8519.0,8520.0,8507.0,7938.0,675804720.0,202609.0,36.0
OI2309.ZCE,2023-04-13 22:45:00,8509.0,8515.0,8527.0,8503.0,8939.0,761248460.0,203936.0,-4.0
OI2309.ZCE,2023-04-13 22:30:00,8536.0,8509.0,8536.0,8503.0,14492.0,1234764340.0,204205.0,-6.0
OI2309.ZCE,2023-04-13 22:15:00,8500.0,8536.0,8537.0,8498.0,17278.0,1472062280.0,204834.0,27.0
OI2309.ZCE,2023-04-13 22:00:00,8493.0,8500.0,8509.0,8490.0,13423.0,1141260150.0,204072.0,-36.0
OI2309.ZCE,2023-04-13 21:45:00,8506.0,8492.0,8515.0,8488.0,15360.0,1305816680.0,203734.0,-8.0
OI2309.ZCE,2023-04-13 21:30:00,8503.0,8505.0,8517.0,8484.0,25905.0,2201753520.0,204501.0,13.0
OI2309.ZCE,2023-04-13 21:15:00,8441.0,8502.0,8502.0,8438.0,29651.0,2510841180.0,205042.0,-3.0
OI2309.ZCE,2023-04-13 21:00:00,8434.0,8438.0,8438.0,8434.0,891.0,75151700.0,203702.0,-64.0
OI2309.ZCE,2023-04-13 15:00:00,8441.0,8455.0,8455.0,8441.0,8044.0,679607790.0,203039.0,17.0
OI2309.ZCE,2023-04-13 14:45:00,8431.0,8441.0,8445.0,8431.0,5805.0,489839270.0,204231.0,-14.0
OI2309.ZCE,2023-04-13 14:30:00,8451.0,8431.0,8451.0,8429.0,6067.0,512055600.0,203692.0,-10.0
OI2309.ZCE,2023-04-13 14:15:00,8441.0,8450.0,8456.0,8437.0,10078.0,851372800.0,203679.0,19.0
OI2309.ZCE,2023-04-13 14:00:00,8427.0,8441.0,8444.0,8423.0,9628.0,811901430.0,203117.0,-9.0
OI2309.ZCE,2023-04-13 13:45:00,8449.0,8426.0,8449.0,8424.0,15117.0,1275443170.0,203149.0,-15.0
OI2309.ZCE,2023-04-13 11:30:00,8474.0,8449.0,8476.0,8448.0,11093.0,938437400.0,201753.0,23.0
OI2309.ZCE,2023-04-13 11:15:00,8458.0,8475.0,8483.0,8442.0,24641.0,2085695680.0,202018.0,26.0
OI2309.ZCE,2023-04-13 11:00:00,8449.0,8458.0,8465.0,8424.0,21477.0,1813661180.0,202447.0,-17.0
OI2309.ZCE,2023-04-13 10:45:00,8398.0,8450.0,8451.0,8395.0,26207.0,2207627000.0,201953.0,-8.0
OI2309.ZCE,2023-04-13 10:15:00,8375.0,8399.0,8411.0,8371.0,13597.0,1141072350.0,202218.0,-51.0
OI2309.ZCE,2023-04-13 10:00:00,8386.0,8378.0,8394.0,8376.0,8021.0,672497090.0,201884.0,-21.0
OI2309.ZCE,2023-04-13 09:45:00,8378.0,8386.0,8395.0,8375.0,9686.0,812260600.0,201127.0,8.0
OI2309.ZCE,2023-04-13 09:30:00,8367.0,8379.0,8387.0,8360.0,11105.0,929979410.0,200865.0,-7.0
OI2309.ZCE,2023-04-13 09:15:00,8380.0,8367.0,8391.0,8352.0,24278.0,2032514940.0,200414.0,-12.0
OI2309.ZCE,2023-04-12 23:00:00,8386.0,8370.0,8396.0,8370.0,12093.0,1013936970.0,198583.0,3.0
OI2309.ZCE,2023-04-12 22:45:00,8415.0,8386.0,8415.0,8374.0,23388.0,1962281100.0,199601.0,16.0
OI2309.ZCE,2023-04-12 22:30:00,8432.0,8415.0,8435.0,8405.0,16836.0,1417602680.0,197266.0,29.0
OI2309.ZCE,2023-04-12 22:15:00,8435.0,8431.0,8457.0,8419.0,16960.0,1431512040.0,195552.0,16.0
OI2309.ZCE,2023-04-12 22:00:00,8452.0,8435.0,8460.0,8426.0,18177.0,1534164510.0,196621.0,4.0
OI2309.ZCE,2023-04-12 21:45:00,8507.0,8451.0,8511.0,8433.0,30076.0,2544026990.0,194829.0,16.0
OI2309.ZCE,2023-04-12 21:30:00,8501.0,8507.0,8512.0,8492.0,10472.0,890132280.0,193197.0,56.0
OI2309.ZCE,2023-04-12 21:15:00,8520.0,8501.0,8534.0,8493.0,23633.0,2011671490.0,191938.0,-6.0
OI2309.ZCE,2023-04-12 21:00:00,8523.0,8521.0,8523.0,8521.0,761.0,64856230.0,188508.0,20.0
OI2309.ZCE,2023-04-12 15:00:00,8502.0,8508.0,8523.0,8498.0,8619.0,733538600.0,187996.0,-13.0
OI2309.ZCE,2023-04-12 14:45:00,8515.0,8502.0,8515.0,8491.0,11474.0,975632090.0,189237.0,-6.0
OI2309.ZCE,2023-04-12 14:30:00,8539.0,8516.0,8540.0,8511.0,9672.0,824743580.0,188217.0,14.0
OI2309.ZCE,2023-04-12 14:15:00,8537.0,8538.0,8540.0,8506.0,13909.0,1185646620.0,187901.0,22.0
OI2309.ZCE,2023-04-12 14:00:00,8488.0,8537.0,8542.0,8486.0,23286.0,1984809220.0,186834.0,-1.0
OI2309.ZCE,2023-04-12 13:45:00,8482.0,8488.0,8502.0,8481.0,14052.0,1193225000.0,187135.0,-49.0
OI2309.ZCE,2023-04-12 11:30:00,8485.0,8482.0,8494.0,8459.0,26689.0,2262509530.0,185409.0,-6.0
OI2309.ZCE,2023-04-12 11:15:00,8560.0,8486.0,8560.0,8481.0,40340.0,3433366410.0,181537.0,4.0
OI2309.ZCE,2023-04-12 11:00:00,8603.0,8562.0,8608.0,8555.0,16799.0,1440912340.0,174074.0,76.0
OI2309.ZCE,2023-04-12 10:45:00,8631.0,8602.0,8637.0,8589.0,13345.0,1148941970.0,171957.0,40.0
OI2309.ZCE,2023-04-12 10:15:00,8620.0,8631.0,8640.0,8620.0,6171.0,532552230.0,171398.0,29.0
OI2309.ZCE,2023-04-12 10:00:00,8628.0,8620.0,8640.0,8615.0,6528.0,563038920.0,171158.0,-11.0
OI2309.ZCE,2023-04-12 09:45:00,8649.0,8627.0,8654.0,8621.0,7878.0,680326830.0,170412.0,7.0
OI2309.ZCE,2023-04-12 09:30:00,8618.0,8649.0,8654.0,8606.0,14413.0,1242886660.0,170364.0,22.0
OI2309.ZCE,2023-04-12 09:15:00,8646.0,8618.0,8660.0,8618.0,15072.0,1301892960.0,169678.0,-31.0
OI2309.ZCE,2023-04-11 23:00:00,8658.0,8645.0,8660.0,8641.0,4560.0,394397150.0,168689.0,27.0
OI2309.ZCE,2023-04-11 22:45:00,8658.0,8657.0,8665.0,8645.0,5292.0,458034760.0,170086.0,12.0
OI2309.ZCE,2023-04-11 22:30:00,8660.0,8658.0,8663.0,8645.0,6139.0,531326490.0,170300.0,1.0
OI2309.ZCE,2023-04-11 22:15:00,8641.0,8660.0,8678.0,8637.0,16713.0,1447263660.0,170461.0,2.0
OI2309.ZCE,2023-04-11 22:00:00,8636.0,8641.0,8652.0,8631.0,13288.0,1148088390.0,170138.0,-19.0
OI2309.ZCE,2023-04-11 21:45:00,8594.0,8636.0,8640.0,8590.0,17529.0,1511150300.0,170271.0,-5.0
OI2309.ZCE,2023-04-11 21:30:00,8590.0,8593.0,8604.0,8580.0,13112.0,1126566180.0,169241.0,-43.0
OI2309.ZCE,2023-04-11 21:15:00,8605.0,8589.0,8614.0,8548.0,32844.0,2816791270.0,168518.0,-4.0
OI2309.ZCE,2023-04-11 21:00:00,8604.0,8603.0,8604.0,8603.0,636.0,54718840.0,166422.0,14.0
OI2309.ZCE,2023-04-11 15:00:00,8641.0,8624.0,8644.0,8621.0,7528.0,649490090.0,166184.0,21.0
OI2309.ZCE,2023-04-11 14:45:00,8634.0,8642.0,8646.0,8628.0,5623.0,485726800.0,167238.0,18.0
OI2309.ZCE,2023-04-11 14:30:00,8640.0,8634.0,8645.0,8625.0,6410.0,553405760.0,167293.0,-8.0
OI2309.ZCE,2023-04-11 14:15:00,8625.0,8640.0,8641.0,8602.0,18580.0,1601845120.0,167176.0,6.0
OI2309.ZCE,2023-04-11 14:00:00,8635.0,8626.0,8639.0,8623.0,11171.0,964098910.0,168224.0,-14.0
OI2309.ZCE,2023-04-11 13:45:00,8665.0,8634.0,8667.0,8633.0,14767.0,1277062620.0,168446.0,8.0
OI2309.ZCE,2023-04-11 11:30:00,8656.0,8665.0,8670.0,8650.0,8892.0,770230280.0,167756.0,31.0
OI2309.ZCE,2023-04-11 11:15:00,8641.0,8656.0,8664.0,8620.0,10771.0,931061730.0,166928.0,-9.0
OI2309.ZCE,2023-04-11 11:00:00,8631.0,8641.0,8642.0,8625.0,7131.0,615543160.0,166079.0,-15.0
OI2309.ZCE,2023-04-11 10:45:00,8665.0,8631.0,8673.0,8628.0,15802.0,1367001690.0,165913.0,-10.0
OI2309.ZCE,2023-04-11 10:15:00,8584.0,8662.0,8665.0,8582.0,16261.0,1402987240.0,165231.0,31.0
OI2309.ZCE,2023-04-11 10:00:00,8593.0,8584.0,8599.0,8579.0,5792.0,497438970.0,163884.0,-78.0
OI2309.ZCE,2023-04-11 09:45:00,8597.0,8593.0,8598.0,8579.0,8609.0,739337130.0,163186.0,9.0
OI2309.ZCE,2023-04-11 09:30:00,8610.0,8597.0,8615.0,8593.0,7227.0,621658640.0,162287.0,4.0
OI2309.ZCE,2023-04-11 09:15:00,8591.0,8610.0,8616.0,8572.0,12907.0,1110272050.0,161499.0,13.0
OI2309.ZCE,2023-04-10 23:00:00,8589.0,8588.0,8593.0,8580.0,3742.0,321308240.0,160836.0,-22.0
OI2309.ZCE,2023-04-10 22:45:00,8581.0,8589.0,8605.0,8581.0,6987.0,600350830.0,161380.0,1.0
OI2309.ZCE,2023-04-10 22:30:00,8588.0,8581.0,8593.0,8572.0,6489.0,556754160.0,161278.0,-8.0
OI2309.ZCE,2023-04-10 22:15:00,8588.0,8588.0,8595.0,8581.0,7994.0,686461250.0,160748.0,7.0
OI2309.ZCE,2023-04-10 22:00:00,8619.0,8589.0,8621.0,8589.0,9101.0,782568290.0,160713.0,1.0
OI2309.ZCE,2023-04-10 21:45:00,8626.0,8618.0,8629.0,8606.0,9364.0,806738790.0,161256.0,29.0
OI2309.ZCE,2023-04-10 21:30:00,8630.0,8625.0,8646.0,8612.0,11458.0,988305690.0,160579.0,7.0
OI2309.ZCE,2023-04-10 21:15:00,8539.0,8630.0,8638.0,8539.0,28299.0,2435359880.0,159997.0,5.0
OI2309.ZCE,2023-04-10 21:00:00,8534.0,8546.0,8546.0,8534.0,248.0,21172680.0,155136.0,-84.0
OI2309.ZCE,2023-04-10 15:00:00,8544.0,8548.0,8555.0,8533.0,5105.0,436154480.0,155043.0,2.0
OI2309.ZCE,2023-04-10 14:45:00,8539.0,8544.0,8547.0,8534.0,4569.0,390179480.0,155334.0,-4.0
OI2309.ZCE,2023-04-10 14:30:00,8558.0,8539.0,8558.0,8537.0,4580.0,391332190.0,155329.0,-5.0
OI2309.ZCE,2023-04-10 14:15:00,8555.0,8559.0,8561.0,8544.0,4094.0,350163140.0,154594.0,20.0
OI2309.ZCE,2023-04-10 14:00:00,8543.0,8556.0,8556.0,8540.0,3748.0,320403940.0,154316.0,-3.0
OI2309.ZCE,2023-04-10 13:45:00,8543.0,8542.0,8572.0,8535.0,14366.0,1228617450.0,154243.0,-14.0
OI2309.ZCE,2023-04-10 11:30:00,8541.0,8536.0,8549.0,8532.0,4726.0,403671690.0,153105.0,-6.0
OI2309.ZCE,2023-04-10 11:15:00,8541.0,8540.0,8545.0,8529.0,7102.0,606283580.0,152769.0,4.0
OI2309.ZCE,2023-04-10 11:00:00,8538.0,8541.0,8549.0,8534.0,6160.0,526204130.0,152403.0,1.0
OI2309.ZCE,2023-04-10 10:45:00,8571.0,8538.0,8571.0,8528.0,12706.0,1085735070.0,152395.0,-3.0
OI2309.ZCE,2023-04-10 10:15:00,8561.0,8570.0,8582.0,8559.0,5727.0,490707760.0,151321.0,32.0
