number,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
85,V2309.DCE,20221212,6290.0,6248.0,6299.0,6387.0,6220.0,6228.0,6321.0,-20.0,73.0,23385.0,73911.62,41361.0,1247.0,
86,V2309.DCE,20221209,6153.0,6138.0,6178.0,6333.0,6155.0,6290.0,6248.0,152.0,110.0,22348.0,69824.37,40114.0,1365.0,
87,V2309.DCE,20221208,6118.0,6147.0,6127.0,6170.0,6108.0,6153.0,6138.0,6.0,-9.0,9337.0,28658.47,38749.0,1175.0,
88,V2309.DCE,20221207,6172.0,6165.0,6158.0,6197.0,6090.0,6118.0,6147.0,-47.0,-18.0,13393.0,41169.07,37574.0,2702.0,
89,V2309.DCE,20221206,6210.0,6193.0,6216.0,6216.0,6130.0,6172.0,6165.0,-21.0,-28.0,16226.0,50023.02,34872.0,1816.0,
90,V2309.DCE,20221205,6114.0,6048.0,6120.0,6275.0,6090.0,6210.0,6193.0,162.0,145.0,19699.0,60998.65,33056.0,1250.0,
91,V2309.DCE,20221202,5993.0,6001.0,6030.0,6127.0,5964.0,6114.0,6048.0,113.0,47.0,15254.0,46133.17,31806.0,-1425.0,
92,V2309.DCE,20221201,5942.0,5933.0,5952.0,6036.0,5952.0,5993.0,6001.0,60.0,68.0,11880.0,35646.8,33231.0,438.0,
93,V2309.DCE,20221130,5946.0,5927.0,5946.0,5969.0,5888.0,5942.0,5933.0,15.0,6.0,7629.0,22634.69,32793.0,211.0,
94,V2309.DCE,20221129,5870.0,5922.0,5880.0,5973.0,5870.0,5946.0,5927.0,24.0,5.0,10049.0,29783.83,32582.0,-84.0,
95,V2309.DCE,20221128,5956.0,5884.0,5970.0,6016.0,5836.0,5870.0,5922.0,-14.0,38.0,16228.0,48056.17,32666.0,1176.0,
96,V2309.DCE,20221125,5864.0,5822.0,5851.0,5960.0,5811.0,5956.0,5884.0,134.0,62.0,16524.0,48613.81,31490.0,-2965.0,
97,V2309.DCE,20221124,5759.0,5766.0,5750.0,5864.0,5740.0,5864.0,5822.0,98.0,56.0,14091.0,41019.45,34455.0,-1021.0,
98,V2309.DCE,20221123,5779.0,5806.0,5816.0,5816.0,5733.0,5759.0,5766.0,-47.0,-40.0,7904.0,22788.74,35476.0,1684.0,
99,V2309.DCE,20221122,5820.0,5839.0,5820.0,5888.0,5774.0,5779.0,5806.0,-60.0,-33.0,6394.0,18562.08,33792.0,1344.0,
100,V2309.DCE,20221121,5886.0,5832.0,5876.0,5900.0,5771.0,5820.0,5839.0,-12.0,7.0,10010.0,29226.73,32448.0,71.0,
101,V2309.DCE,20221118,5880.0,5897.0,5855.0,5895.0,5781.0,5886.0,5832.0,-11.0,-65.0,10088.0,29419.58,32377.0,1547.0,
102,V2309.DCE,20221117,5938.0,5929.0,5940.0,5988.0,5838.0,5880.0,5897.0,-49.0,-32.0,12094.0,35662.26,30830.0,1542.0,
103,V2309.DCE,20221116,5930.0,5931.0,5928.0,5948.0,5912.0,5938.0,5929.0,7.0,-2.0,6408.0,18999.28,29288.0,792.0,
104,V2309.DCE,20221115,5920.0,5926.0,5902.0,5975.0,5898.0,5930.0,5931.0,4.0,5.0,7886.0,23389.84,28496.0,44.0,
105,V2309.DCE,20221114,5902.0,5863.0,5932.0,5973.0,5885.0,5920.0,5926.0,57.0,63.0,11915.0,35309.69,28452.0,-682.0,
106,V2309.DCE,20221111,5765.0,5810.0,5760.0,5931.0,5743.0,5902.0,5863.0,92.0,53.0,11715.0,34344.49,29134.0,-916.0,
