number,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
34,AG2306.SHF,20230301,4875.0,4881.0,4870.0,4944.0,4863.0,4935.0,4905.0,54.0,24.0,676221.0,4976101.48,621001.0,-18928.0,
35,AG2306.SHF,20230228,4870.0,4904.0,4878.0,4895.0,4863.0,4875.0,4881.0,-29.0,-23.0,492845.0,3608846.61,639929.0,1771.0,
36,AG2306.SHF,20230227,4944.0,4952.0,4924.0,4939.0,4852.0,4870.0,4904.0,-82.0,-48.0,814501.0,5992632.32,638158.0,33684.0,
37,AG2306.SHF,20230224,4961.0,4979.0,4966.0,4980.0,4933.0,4944.0,4952.0,-35.0,-27.0,652929.0,4850228.46,604474.0,8253.0,
38,AG2306.SHF,20230223,4989.0,4995.0,5007.0,5016.0,4952.0,4961.0,4979.0,-34.0,-16.0,554422.0,4140756.2,596221.0,8599.0,
39,AG2306.SHF,20230222,4964.0,4971.0,4972.0,5017.0,4968.0,4989.0,4995.0,18.0,24.0,680003.0,5095688.82,587622.0,-7128.0,
40,AG2306.SHF,20230221,4965.0,4921.0,4957.0,4988.0,4954.0,4964.0,4971.0,43.0,50.0,414318.0,3089709.41,594750.0,-5653.0,
41,AG2306.SHF,20230220,4879.0,4904.0,4881.0,4982.0,4877.0,4965.0,4921.0,61.0,17.0,854180.0,6305861.94,600403.0,-12996.0,
42,AG2306.SHF,20230217,4918.0,4906.0,4914.0,4936.0,4870.0,4879.0,4904.0,-27.0,-2.0,716961.0,5274010.36,613399.0,18375.0,
43,AG2306.SHF,20230216,4912.0,4928.0,4888.0,4943.0,4876.0,4918.0,4906.0,-10.0,-22.0,696389.0,5125282.4,595024.0,3451.0,
44,AG2306.SHF,20230215,4953.0,4941.0,4922.0,4966.0,4894.0,4912.0,4928.0,-29.0,-13.0,1111933.0,8220752.29,591573.0,12304.0,
45,AG2306.SHF,20230214,4939.0,4948.0,4950.0,4958.0,4916.0,4953.0,4941.0,5.0,-7.0,540187.0,4004212.87,579269.0,7689.0,
46,AG2306.SHF,20230213,4928.0,4970.0,4951.0,4979.0,4920.0,4939.0,4948.0,-31.0,-22.0,746178.0,5538724.83,571580.0,-14909.0,
47,AG2306.SHF,20230210,5002.0,4999.0,5003.0,5046.0,4901.0,4928.0,4970.0,-71.0,-29.0,1128205.0,8412223.7,586489.0,15080.0,
48,AG2306.SHF,20230209,4993.0,4995.0,5013.0,5026.0,4977.0,5002.0,4999.0,7.0,4.0,684643.0,5134741.91,571409.0,-1401.0,
49,AG2306.SHF,20230208,5008.0,5008.0,5000.0,5023.0,4963.0,4993.0,4995.0,-15.0,-13.0,866594.0,6494144.36,572810.0,11761.0,
50,AG2306.SHF,20230207,5026.0,5080.0,5026.0,5034.0,4984.0,5008.0,5008.0,-72.0,-72.0,729592.0,5480902.51,561049.0,18890.0,
51,AG2306.SHF,20230206,5197.0,5274.0,5200.0,5205.0,5005.0,5026.0,5080.0,-248.0,-194.0,1326967.0,10113337.06,542159.0,35380.0,
52,AG2306.SHF,20230203,5305.0,5258.0,5364.0,5397.0,5182.0,5197.0,5274.0,-61.0,16.0,1274557.0,10083070.29,506779.0,-3936.0,
53,AG2306.SHF,20230202,5222.0,5207.0,5207.0,5351.0,5169.0,5305.0,5258.0,98.0,51.0,864671.0,6820729.69,510715.0,16079.0,
54,AG2306.SHF,20230201,5185.0,5218.0,5147.0,5239.0,5143.0,5222.0,5207.0,4.0,-11.0,567882.0,4435874.22,494636.0,11953.0,
55,AG2306.SHF,20230131,5243.0,5233.0,5240.0,5253.0,5171.0,5185.0,5218.0,-48.0,-15.0,514247.0,4025571.1035,482683.0,17667.0,
56,AG2306.SHF,20230130,5311.0,5227.0,5247.0,5267.0,5208.0,5243.0,5233.0,16.0,6.0,243401.0,1910680.0275,465016.0,7057.0,
57,AG2306.SHF,20230120,5165.0,5245.0,5171.0,5320.0,5126.0,5311.0,5227.0,66.0,-18.0,857724.0,6725500.46,457959.0,-16534.0,
58,AG2306.SHF,20230119,5309.0,5307.0,5333.0,5350.0,5144.0,5165.0,5245.0,-142.0,-62.0,1024926.0,8065121.36,474493.0,1718.0,
59,AG2306.SHF,20230118,5311.0,5321.0,5314.0,5342.0,5274.0,5309.0,5307.0,-12.0,-14.0,643008.0,5118929.21,472775.0,-1322.0,
60,AG2306.SHF,20230117,5329.0,5281.0,5299.0,5362.0,5270.0,5311.0,5321.0,30.0,40.0,525749.0,4196383.39,474097.0,7302.0,
61,AG2306.SHF,20230116,5225.0,5241.0,5194.0,5367.0,5181.0,5329.0,5281.0,88.0,40.0,794529.0,6294812.24,466795.0,37224.0,
62,AG2306.SHF,20230113,5215.0,5206.0,5245.0,5295.0,5196.0,5225.0,5241.0,19.0,35.0,779092.0,6125997.66,429571.0,6644.0,
63,AG2306.SHF,20230112,5272.0,5232.0,5260.0,5267.0,5155.0,5215.0,5206.0,-17.0,-26.0,573028.0,4474946.8,422927.0,7875.0,
64,AG2306.SHF,20230111,5208.0,5236.0,5199.0,5284.0,5183.0,5272.0,5232.0,36.0,-4.0,354114.0,2779527.76,415052.0,16928.0,
65,AG2306.SHF,20230110,5280.0,5241.0,5270.0,5286.0,5185.0,5208.0,5236.0,-33.0,-5.0,312556.0,2454913.13,398124.0,-5319.0,
66,AG2306.SHF,20230109,5178.0,5180.0,5175.0,5302.0,5170.0,5280.0,5241.0,100.0,61.0,427955.0,3364668.43,403443.0,-1271.0,
67,AG2306.SHF,20230106,5233.0,5328.0,5202.0,5226.0,5143.0,5178.0,5180.0,-150.0,-148.0,376092.0,2922603.63,404714.0,-4309.0,
